junction,impact,tickets,lat,lon
Safina Plaza Junction,38622.05,15179,12.9812151,77.6087121
Sagar Theatre Junction,29633.65,10284,12.974399649999999,77.5789389
KR Market Junction,26381.5,11378,12.964372749999999,77.5769768
Elite Junction,24285.99,10637,12.9768801,77.5764772
Subbanna Junction,19413.25,5124,12.978972299999999,77.5786017
Central Street Junction,14750.48,5333,12.9840433,77.6034546
Anand Rao Junction,14209.44,3920,12.97927,77.57486775000001
"AS Char Street, Mysore Road",10996.44,2737,12.9663305,77.5745555
Danvanthri Road Junction,10050.25,3149,12.9776101,77.574803
"NR Road, SP Road Junction",9683.5,3630,12.9643418,77.583937
"10th Cross, Dr. Rajkumar Road",9435.4,2784,13.0082761,77.554526
Modi Bridge Junction,8782.54,4298,12.9991944,77.54959635
Mysore Bank Junction,6361.7,1988,12.973343700000001,77.5811625
Medical College Circle,5959.45,1484,12.9593973,77.5766411
Mahalaxmi Layout Entrance,5762.4,1781,13.0084025,77.548644
"5th Main Road, RPC Layout",5629.2,2470,12.9649475,77.538668
Hosahalli Metro Station,5448.8,4057,12.9744152,77.5452204
"RR Kalyana Mantapa, Dr. Rajkumar Road",4917.78,1201,12.9931259,77.5539652
Windsor Circle,4855.26,2711,12.9930789,77.5885717
Upparpet Junction,4847.650000000001,1782,12.97035675,77.57573595
Shanthala Junction,4388.4,1585,12.9772567,77.5707647
"19th Main Junction, Rajajinagar",4115.75,1382,12.999461,77.55070825
Tagore Park Junction,3827.3,1789,12.9437151,77.57111
Siddalingaiah Circle,3824.1,1052,12.97140405,77.5976799
"1st Block Junction, Rajajinagar",3812.2000000000003,1069,13.0023516,77.5501934
Gali Anjaneya Temple,3441.19,962,12.95249545,77.5412217
Modi Hospital Junction,3102.05,1038,12.997459450000001,77.54766125
"Cholurpalya Junction, Magadi Road",3088.9,2250,12.973479,77.5510137
Shivananda Circle,3011.56,743,12.9869977,77.5784101
"Dr. Bheem Rao Palace, Chord Road",2972.36,572,12.989974700000001,77.550689
"17th Main, Doopanahalli Bus Stop",2959.35,715,12.9637096,77.6416
UCO Bank Junction,2944.12,1098,12.93585735,77.61551539999999
Rajajinagar Entrance,2669.3,942,12.982279349999999,77.5599718
Minsk Square Junction (CTO),2656.5,1998,12.981136249999999,77.5984811
Bhashyam Circle,2557.06,1029,12.9852693,77.5537106
Havanur Circle,2545.2000000000003,803,12.9879559,77.5375181
Madiwala Traffic PS Junction,2511.4,589,12.9245459,77.6192481
Leprosy Hospital Junction,2415.38,1031,12.9757102,77.5613448
MC Circle,2307.07,1065,12.9744682,77.5474754
"33rd Cross, 11th Main, Jayanagar",2272.16,472,12.92629655,77.58597655
Navarang Theatre,2246.2,1185,12.9983495,77.5529454
"Marenahalli Junction, Vijayanagar",2222.46,1150,12.968679949999999,77.53678815
Vijayanagar Bus Stand Junction,2213.06,754,12.9724836,77.53782855
"NPS, Vijayanagar",2187.6,632,12.9831061,77.54885999999999
Urvashi Theater,2025.6000000000001,618,12.95578445,77.5860577
"Shankara Mutt Circle, Vijayanagar",2001.8,702,12.99864205,77.5409683
"Satellite Bus Stand, Mysore Road",1974.1000000000001,771,12.9538326,77.5434959
"ESI Hospital, Rajajinagar",1904.7,630,12.989961950000001,77.5534138
Basappa Circle,1890.1000000000001,647,12.9587216,77.5775924
"Cash Pharmacy, Residency Road",1724.4,345,12.9692315,77.6002295
Nayandahalli Junction,1596.35,206,12.94472695,77.527195
Dhobi Ghat Junction,1565.1,381,12.98761,77.5498659
Hosur-Tavarkere Road Junction,1536.2,355,12.9355,77.6082604
Madiwala Check Post,1517.44,343,12.9320034,77.6134773
"50th cross, 12th Main , Rajajinagar",1502.45,455,12.9868208,77.5557898
Dairy Circle,1447.7,324,12.936665649999998,77.6017413
"New Diagonal Road, Jayanagar",1404.0,594,12.9280888,77.5806972
JC Road Junction,1400.35,372,12.958034900000001,77.58136985
"10th Cross, Wilson Garden",1394.3,516,12.9452067,77.59544615
"Basava Mantapa, Dr. Rajkumar Road",1351.56,420,12.98004225,77.55461740000001
Canara Bank Junction,1318.65,357,12.9312968,77.5838828
Vanivillas Junction,1311.85,433,12.9458439,77.5706271
Sirsi Circle,1247.8,262,12.96286185,77.55912105
"Sahasra Hospital, Jayanagar",1196.4,360,12.9172027,77.5736276
Prasanna Junction,1194.96,705,12.9738935,77.551561
Hudson Circle,1139.55,453,12.9680258,77.5886496
Nanjappa Circle,1137.6,758,12.9618255,77.59909725
Jai Muni Rao Circle,1130.7,407,12.9784766,77.5429087
Swagath Poornima Theatre,1089.95,254,12.9611298,77.5871586
Puttanna Junction,1075.5,291,12.9289001,77.5826413
Veeresh Theatre Junction,1059.35,496,12.9768324,77.5454631
"9th Cross, 4th Main, Jayanagar",1031.0,545,12.9393891,77.5839749
GD Mara Junction,1005.7,630,12.9083599,77.6006301
Lalbagh Main Gate Junction,972.45,243,12.9542833,77.5841169
5th Main Chamrajpet  Junction,965.4,252,12.9582054,77.5662474
"9th Cross, 24th Main, JP Nagar",952.0,282,12.9119016,77.58574215
KR Circle,907.8,233,12.9766438,77.5882397
Gopal Gowda Circle,887.1,351,12.9772805,77.5907313
"16th Main Road, BTM Layout",882.0,363,12.9138203,77.6084646
Police Corner,810.65,188,12.9687363,77.58642789999999
"9th Cross, Kanakapura Road",772.4,304,12.91136715,77.57319659999999
CID Carlton House Junction,767.0,195,12.9809412,77.5881968
"Sri Skanda Complex, Mysore Road",761.1,110,12.95578265,77.5461756
Geetha Junction,746.39,284,12.92855,77.5860842
NR Square Junction,736.7,243,12.9656733,77.5853957
"Aurobindo Circle, ORR",707.55,183,12.9163883,77.5857879
"Rajalakshmi Kalyana Mantapa, JP Nagar",699.9,192,12.9172382,77.57791055
"East End Main Road, Jayanagar",692.25,142,12.91695195,77.5969042
Syndicate Bank Junction,690.95,342,12.9331899,77.58416855
Yediyur Junction,684.8,172,12.9380683,77.5769205
Dewan Madhava Rao Junction,677.6,288,12.9405068,77.57288305
LRDE Junction,675.0,208,12.9886254,77.5919638
8th Main Road Basaveshwara Nagar,671.7,209,12.9917071,77.5384217
Katriguppe Junction,667.0,330,12.92672235,77.5508017
Briyand Circle,647.35,166,12.96674775,77.57008644999999
Attiguppe Circle,632.0,418,12.9606515,77.52908554999999
"BMTC Junction, KH Road",611.65,175,12.9548088,77.5929861
Bangalore Builders Junction,587.9,94,12.95924895,77.5556128
"Blood Bank Circle, KH Road",585.2,406,12.96209945,77.5959907
"Sri Hatti Maramma Circle, Domluru",585.1,175,12.9613326,77.6363698
Anepalya Junction,571.95,158,12.95152225,77.6073681
Shanti Nagar TTMC,568.3,144,12.9540652,77.5914118
"Sagar Hospital, Jayanagar",565.9,79,12.9273887,77.597203
TMC,565.1,152,12.9822245,77.5987838
Minerva Circle,561.65,196,12.9552133,77.5800138
Vidhan Soudha Metro Station,551.4,200,12.979796799999999,77.5925982
"Police Quarters, Sultan Road",547.8,87,12.9603628,77.5629515
Domlur Water Tank,540.95,146,12.9606894,77.6385052
"15th Cross, 24th Main, JP Nagar",526.0,116,12.9050103,77.5857311
"MSR Building, JC Road",523.55,132,12.96130615,77.58391345000001
"27th Cross, 4th Main, Jayanagar",523.32,294,12.9295259,77.5806717
Town Hall Junction,516.55,161,12.9653953,77.5847779
RRMR Junction,514.2,130,12.9675469,77.5939159
Lalbagh West Gate,506.7,212,12.94813315,77.58002385
Prakash Nagar Junction,493.6,262,12.992627800000001,77.55798925
VV Puram College,456.4,151,12.9522006,77.573932
Siddapura Junction,441.6,145,12.9474274,77.5912813
Richmond Circle,430.6,293,12.9625577,77.5984094
Mekhri Circle,429.15,87,13.0112557,77.5836966
Devanga Hostel Junction,412.2,102,12.9628031,77.5898376
Shivasankara Circle,403.4,186,12.9568308,77.57501435
"Suguna Hospital, Dr. Rajkumar Road",401.40000000000003,101,12.987607,77.5597809
"9th Block, 28th Main, Jayanagar",400.09,110,12.9169059,77.5951154
Delmia Circle,391.9,98,12.90623145,77.59226545
"Toll Gate, Mysore Road",386.1,88,12.9580256,77.5521991
Coffee Board Junction,382.4,118,12.9853174,77.59417859999999
Minto Junction,381.35,76,12.960532950000001,77.57155655
Indian Express (Balekundri),369.6,112,12.986493849999999,77.5986718
Sarakki Main Road,363.7,137,12.9109452,77.5783083
Vasavi Circle,347.9,112,12.949321099999999,77.5768047
Police Thimmaiah Circle (GPO),340.6,82,12.9808103,77.5940933
"JP Nagar Metro, ORR",340.0,100,12.90650335,77.5733257
KH Circle,334.5,107,12.9517033,77.5906604
"Sophia High School, Sankey Road",317.7,208,12.9911077,77.58857714999999
Sarjapur Road Check Post,297.7,75,12.9267245,77.6170727
"40th Cross, 4th Main, Jayanagar",289.0,102,12.9199322,77.583456
Adugodi Junction,285.3,73,12.941398,77.6087651
RV Teachers College,259.3,57,12.9450764,77.5799915
"36th Cross, 4th Main, Jayanagar",233.1,143,12.9224602,77.5807351
Baleyele Junction,227.4,84,12.9572468,77.56945475
Three Let Junction,213.5,51,12.9842476,77.5819722
"27th Cross, Pai Vista, KR Road",210.3,128,12.9173507,77.5732767
"KR Road Junction, Near JSS",201.70000000000002,64,12.924511156987869,77.57520153697017
Palmgroove Junction,199.5,46,12.968874,77.61480965
Navarang Bar Junction,185.9,47,12.9906036,77.5573073
Mico Bande,184.8,49,12.9449631,77.6026989
South End Circle,167.3,56,12.9377279,77.5811368
Devegowda Petrol Bunk,167.1,45,12.922225,77.5598446
Royan Circle,163.0,21,12.96050405588086,77.56847553
Gorappanapalya Junction,152.9,53,12.9209184,77.6003344
Lower Agram Road Junction,143.0,33,12.9615408,77.6156289
National College Junction,131.9,73,12.948475,77.5722644
ASC Junction,127.8,18,12.96958445,77.6197581
Basaweshwara Circle (LH) Junction,127.0,35,12.9849848,77.5882548
Halasuru Gate Junction,101.8,30,12.9668274,77.5870308
"Puttamma Choultry, Nagarbhavi",96.1,27,12.9800252,77.538279
"15th Cross, 35th Main, JP Nagar",80.2,23,12.906563216832378,77.57757626481128
"15th Cross, 33rd Main, JP Nagar",79.1,24,12.906290649999999,77.58088344999999
"29th Main Road, BTM Layout",78.8,42,12.9151337,77.61587795
Kamakya Junction,67.8,13,12.9239288,77.5533635
Itmadu Junction,62.7,12,12.929435250000001,77.54635429999999
Kadirenahalli Cross,58.3,16,12.9136521,77.5672618
"9th Cross, 8th Main, JP Nagar",38.75,14,12.910303500000001,77.59521525
"18th Main, Marenahalli",32.199999999999996,7,12.9168445,77.5895304
Commando Hospital Junction,28.5,6,12.969713,77.62645069999999
"14th Cross, KR Road",28.5,10,12.929534199999999,77.57291335
"Bharathi Nursing Home, Basavanagudi",23.5,7,12.93737733725582,77.57295683026314
Bileka Halli Junction,23.3,8,12.9020895,77.6010244
